ticket_id,opened_ts,department,product,priority,channel,assignee_level,client_tier,cpu_pct,memory_mb,reopen_count,comments,resolve_hours,sla_breached,is_slow
10221,1741911139,Backend,CRM,Low,Slack,Middle,Free,52.1,2098.0,2,4.0,,0,
11634,1746698037,DevOps,CRM,Low,Phone,Junior,Free,38.9,1035.0,1,6.0,3.54,1,False
11663,1743866310,DevOps,Cloud,Medium,Phone,Junior,Free,9.0,2071.0,0,6.0,9.66,0,False
10341,1750246839,Support,Cloud,Critical,Email,Senior,Free,30.8,3459.0,0,6.0,1.63,1,False
10732,1749999476,Security,Auth,High,Portal,Junior,Pro,30.9,2108.0,0,4.0,1.26,0,False
11728,1744325645,Security,Cloud,Low,Email,Middle,Free,56.9,764.0,2,3.0,3.23,1,False
11577,1739651037,Security,Billing,Low,Portal,Junior,Free,,1114.0,2,6.0,3.78,1,False
10230,1744980022,Support,  analytics ,Low,Portal,Junior,Pro,61.1,2544.0,2,9.0,4.97,1,False
11533,1743570844,Data,Analytics,Medium,Phone,Middle,Free,48.4,1470.0,1,6.0,1.7,1,False
11539,1738650908,Backend,Analytics,Low,Phone,Junior,Pro,51.8,1220.0,0,6.0,3.28,1,False
11215,1748659857,Support,Billing,High,Portal,Middle,Pro,58.8,586.0,0,4.0,5.08,1,False
10185,1750427992,Security,Cloud,High,Email,Junior,Enterprise,19.6,974.0,2,3.0,6.79,0,False
11501,1739958025,Security,Analytics,Low,Phone,Middle,Pro,33.5,1942.0,1,9.0,3.3,1,False
10500,1737034223,Data,CRM,Low,Email,Middle,Pro,20.1,2567.0,0,1.0,2.03,0,False
10222,1745618395,Backend,CRM,Medium,Phone,Junior,Enterprise,39.7,1951.0,2,4.0,26.54,0,True
10929,1749803659,SUPPORT,Billing,Low,Slack,Middle,Free,,1431.0,1,3.0,2.15,1,False
11220,1745081825,Backend,Billing,Low,Email,Middle,Free,76.2,2250.0,1,6.0,5.55,1,False
10380,1747813379,Data,Analytics,Medium,Slack,Middle,Pro,54.3,2657.0,1,7.0,2.04,1,False
11295,1750820940,Data,Billing,Medium,Email,Middle,Pro,32.7,2184.0,0,5.0,,1,
11254,1738198988,Backend,Analytics,Medium,Slack,Junior,Free,34.2,2610.0,0,4.0,5.55,0,False
10128,1746804352,Backend,Billing,Medium,Phone,Middle,Pro,51.2,3342.0,1,6.0,4.34,0,False
10404,1738274972,Backend,Auth,High,Portal,Junior,Free,50.9,2725.0,0,12.0,8.33,0,False
11410,1739702769,DevOps,CRM,Medium,Slack,Middle,Enterprise,55.0,1778.0,2,7.0,7.5,1,False
11280,1749101621,DevOps,CRM,Critical,Slack,Middle,Pro,22.5,742.0,1,4.0,12.57,1,False
11291,1737500350,DevOps,Auth,High,Slack,Junior,Free,44.5,1850.0,0,4.0,2.39,1,False
10891,1737790500,Backend,Cloud,Medium,Phone,Junior,Free,52.0,2766.0,1,6.0,8.4,1,False
11525,1742650156,Backend,CRM,Low,Slack,Middle,Enterprise,,1618.0,1,3.0,4.21,0,False
10238,1750842271,Support,Auth,Medium,Portal,Junior,Pro,64.0,2932.0,0,4.0,2.16,0,False
11175,1747824478,Support,Analytics,Critical,Email,Junior,Pro,50.1,2654.0,0,4.0,,0,
10774,1738592456,SUPPORT,Analytics,Low,Email,Middle,Pro,47.3,2601.0,0,3.0,11.09,1,False
10947,1741705179,Support,  cloud ,Medium,Slack,Junior,Enterprise,29.5,671.0,0,3.0,,0,
10781,1749423465,SUPPORT,Auth,Critical,Email,Junior,Free,44.5,2514.0,0,4.0,6.39,1,False
10869,1750723037,Security,Cloud,Medium,Phone,Middle,Pro,66.9,2384.0,0,,4.15,1,False
10352,1747103553,Support,Analytics,Low,Slack,Junior,Free,50.2,2043.0,0,5.0,,1,
11796,1746601227,Support,  billing ,Medium,Slack,Junior,Pro,91.1,1901.0,0,5.0,16.24,1,False
10940,1746950241,DevOps,Analytics,Low,Portal,Junior,Pro,67.3,2126.0,1,3.0,7.44,1,False
11081,1741194568,DevOps,Billing,Medium,Email,Middle,Pro,,1497.0,1,6.0,6.19,0,False
11799,1744710352,Data,Billing,Low,Portal,Middle,Free,69.4,1779.0,1,4.0,4.58,1,False
10135,1748906605,Data,CRM,High,Phone,Senior,Free,74.7,2571.0,0,4.0,5.57,1,False
11030,1749145456,Data,Cloud,Low,Phone,Middle,Enterprise,41.9,3181.0,0,3.0,5.18,1,False
11551,1749346556,Backend,Billing,Medium,Email,Middle,Pro,37.3,1974.0,1,4.0,2.33,1,False
11303,1743845467,Backend,Auth,High,Email,Junior,Pro,34.9,3846.0,0,3.0,4.89,1,False
10314,1747747520,Support,CRM,Low,Phone,Junior,Pro,31.0,1961.0,0,8.0,1.27,0,False
11021,1743432581,DevOps,CRM,Low,Slack,Middle,Free,45.6,2315.0,2,6.0,5.85,0,False
11183,1739836875,Backend,CRM,Critical,Email,Junior,Free,19.4,3886.0,1,3.0,1.79,0,False
10248,1747667763,DevOps,Analytics,Low,Portal,Junior,Pro,46.1,2028.0,3,,3.55,1,False
11323,1740605178,Backend,CRM,Medium,Slack,Middle,Pro,66.6,1882.0,0,6.0,3.42,0,False
10539,1736126483,Backend,Billing,Medium,Email,Middle,Pro,28.7,1933.0,0,6.0,17.95,0,False
10258,1749519686,DevOps,Auth,Low,Phone,Junior,Pro,38.0,1336.0,2,5.0,2.36,0,False
11571,1743669357,Security,Cloud,Medium,Slack,Junior,Pro,57.4,3066.0,2,4.0,3.66,0,False
10426,1738825562,DevOps,  analytics ,Medium,Email,Senior,Free,10.2,2622.0,0,5.0,4.4,0,False
10282,1738398774,Data,Cloud,Low,Phone,Middle,Pro,35.7,3856.0,0,5.0,6.6,0,False
10785,1742890812,Backend,Cloud,Low,Slack,Junior,Enterprise,,2353.0,0,6.0,20.65,1,False
11645,1744911533,Support,CRM,Medium,Slack,Middle,Free,50.1,3058.0,1,7.0,11.82,1,False
10072,1746008177,Backend,Billing,Critical,Slack,Middle,Free,52.2,1438.0,0,2.0,2.94,1,False
10063,1736905422,Backend,CRM,Low,Portal,Senior,Pro,64.4,1637.0,0,2.0,8.22,1,False
11419,1739201588,Backend,Billing,Low,Email,Junior,Pro,48.6,2502.0,0,3.0,,0,
10213,1741893810,Support,Cloud,High,Portal,Middle,Pro,79.0,3311.0,1,4.0,6.6,1,False
11515,1747992440,Data,Cloud,Low,Slack,Junior,Enterprise,32.8,256.0,1,7.0,14.53,0,False
11445,1748620969,Backend,CRM,Low,Phone,Senior,Pro,59.7,2007.0,0,4.0,6.73,1,False
11646,1742060210,Support,  cloud ,Low,Portal,Junior,Enterprise,89.6,2651.0,0,1.0,2.68,0,False
10561,1747653465,Backend,Analytics,Low,Portal,Junior,Pro,49.1,3286.0,0,5.0,1.54,1,False
